Designator,Footprint,Quantity,Value,LCSC Part #
C1,1210,1,1uF,C577270 
C2,0402,1,1uF,C1518208 
C3,0402,1,1nF,C76947
C4,1206,1,10uF,C2158829
D1,D_SMC,1,D_Schottky,C64338
L01,L_Bourns-SRU1028_10.0x10.0mm,1,6.2uF,C7084591
Q1,TSOP-6_1.65x3.05mm_P0.95mm,1,SQ3419AEEV,C2650243
R1,0805,1,63k4,C2933483
R2,0805,1,1k4,C2930161
R3,1206,1,0R01,C2903499
R4,0805,1,10k,C2930231
R5,0805,1,1k15,C3016680
U1,HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm_ThermalVias,1,LM25085,C727535
