Designator,Mid X,Mid Y,Rotation,Layer
C1,99.4125,-90.58,180.0,top
C2,107.6225,-82.14,180.0,top
C3,107.4325,-76.5,0.0,top
C4,90.9375,-89.98,0.0,top
D1,95.5,-78.35,90.0,top
L01,86.0,-77.0,180.0,top
Q1,102.6,-75.4,0.0,top
R1,103.25,-78.6,180.0,top
R2,107.5,-78.5,0.0,top
R3,105.5,-87.05,90.0,top
R4,90.0,-84.0,0.0,top
R5,91.0,-87.5,0.0,top
U1,103.0,-82.5,0.0,top
